Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W263    3476            3475.2          0.144704        1.00023         68.7478         0.171265        
W264    3474.87         3482.14         0.132683        0.997914        45.0589         1.84976         
W265    3473.6          3472.73         0.146175        1.00025         56.6891         1.20536         
W266    3472.19         3468.52         0.136728        1.00106         71.9213         1.62457         
W267    3470.65         3460.19         0.172486        1.00302         189.127         1.40847         
W268    3468.96         3487.04         0.172298        0.994814        22.5253         0.395967        
W269            3467.14         3434.25         1.00958         99.0943         2.26016         
W270    3465.17         3505.33         0.13577         0.988544        61.5736         5.75671         
W271    3463.08         3448.93         0.150769        1.0041          43.5924         0.805809        
W272    3460.84         4407.2          0.150471        0.785269        73.4736         1.81616         
W273    3462.1          3796.63         0.158388        0.911886        41.2606         1.91317         
W274    3464.33         3617.7          0.14032         0.957606        5.36304         1.08216         
W275    3466.43         3477.09         0.138992        0.996936        57.9537         1.70638         
W276    3468.4          3471.55         0.146591        0.999092        40.6421         0.749488        
W277    3470.22         3468.02         0.138604        1.00063         44.575          1.579           
W278    3471.91         3472.01         0.138332        0.999972        62.1363         0.599823        
W279    3473.46         3473.45         0.143454        1               66.3644         1.27903         
W280    3474.87         3471.8          0.14105         1.00088         72.8561         2.53691         
W281    3476.14         3492.5          0.14918         0.995316        38.0204         0.612325        
W282    3477.27         3476.82         0.150441        1.00013         70.3096         1.04046         
W283    3478.26         3477.15         0.162274        1.00032         61.2062         1.57558         
W284    3479.11         3478.55         0.149271        1.00016         66.5713         0.695697        
W285    3479.82         3479.29         0.160774        1.00015         63.68           0.823572        
W286    3480.38         3459.75         0.13331         1.00596         74.1634         0.916243        
W287    3480.81         3480.51         0.130315        1.00008         61.0633         3.60375         
W288    3481.09         3480.83         0.141461        1.00008         67.6144         1.8789          
W289    3481.23         3481.67         0.139725        0.999875        94.8377         2.44693         
W290    3481.23         3482.49         0.143598        0.999639        62.3043         1.90146         
W291    3481.09         3462.65         0.139124        1.00533         109.53          1.51603         
W292    3480.81         3480.74         0.156192        1.00002         82.3517         3.12196         
W293    3480.38         3479.53         0.143622        1.00024         76.8477         2.25701         
W294    3479.82         3482.01         0.157896        0.99937         95.4666         3.2127          
W295    3479.11         3484.04         0.146499        0.998586        92.4748         1.80947         
W296    3478.26         3479.13         0.142418        0.999749        53.9511         2.61615         
W297    3477.27         3477.72         0.127887        0.99987         59.1127         0.893219        
W298    3476.14         3475.28         0.140518        1.00025         50.6903         1.66961         
W299    3474.87         3473.9          0.134236        1.00028         56.4298         3.23191         
W300    3473.46         3473.44         0.146846        1.00001         52.0195         0.631023        
W301    3471.91         3471.7          0.139465        1.00006         99.0204         2.02062         
W302    3470.22         2642.48         0.0846634       1.31324         39.2145         0.957929        
W303            3468.4          3474.07         0.998369        131.819         0.800636        
W304    3466.43         3480.75         0.137054        0.995886        43.0016         0.41542         
W305    3464.33         3388.07         0.148622        1.02251         14.2591         0.904129        
W306    3462.1          3474.52         0.148721        0.996424        21.5107         0.699887        
